Region,Date,Sex,Age,Deaths
Midwest,2020-12-19,f,65,5014
Midwest,2020-12-19,f,75,8013
Midwest,2020-12-19,f,85,13920
Midwest,2020-12-19,f,TOT,30378
Midwest,2020-12-19,m,0,2
Midwest,2020-12-19,m,1,1
Midwest,2020-12-19,m,15,37
Midwest,2020-12-19,m,25,192
Midwest,2020-12-19,m,35,511
Midwest,2020-12-19,m,45,1502
Midwest,2020-12-19,m,5,3
Midwest,2020-12-19,m,55,3889
Midwest,2020-12-19,m,65,7837
Midwest,2020-12-19,m,75,10275
Midwest,2020-12-19,m,85,10045
Midwest,2020-12-19,m,TOT,34290
Midwest,2020-12-26,b,TOT,67357
Midwest,2020-12-26,f,0,3
Midwest,2020-12-26,f,1,1
Midwest,2020-12-26,f,15,35
Midwest,2020-12-26,f,25,121
Midwest,2020-12-26,f,35,266
Midwest,2020-12-26,f,45,761
Midwest,2020-12-26,f,5,2
Midwest,2020-12-26,f,55,2365
Midwest,2020-12-26,f,65,5219
Midwest,2020-12-26,f,75,8346
Midwest,2020-12-26,f,85,14524
Midwest,2020-12-26,f,TOT,31639
Midwest,2020-12-26,m,0,3
Midwest,2020-12-26,m,1,1
Midwest,2020-12-26,m,15,40
Midwest,2020-12-26,m,25,197
Midwest,2020-12-26,m,35,520
Midwest,2020-12-26,m,45,1536
Midwest,2020-12-26,m,5,3
Midwest,2020-12-26,m,55,4027
Midwest,2020-12-26,m,65,8136
Midwest,2020-12-26,m,75,10760
Midwest,2020-12-26,m,85,10499
Midwest,2020-12-26,m,TOT,35717
Midwest,2021-01-02,b,TOT,70625
Midwest,2021-01-02,f,0,3
Midwest,2021-01-02,f,1,1
Midwest,2021-01-02,f,15,37
Midwest,2021-01-02,f,25,123
Midwest,2021-01-02,f,35,276
Midwest,2021-01-02,f,45,795
Midwest,2021-01-02,f,5,2
Midwest,2021-01-02,f,55,2461
Midwest,2021-01-02,f,65,5449
Midwest,2021-01-02,f,75,8774
Midwest,2021-01-02,f,85,15286
Midwest,2021-01-02,f,TOT,33204
Midwest,2021-01-02,m,0,3
Midwest,2021-01-02,m,1,1
Midwest,2021-01-02,m,15,40
Midwest,2021-01-02,m,25,201
Midwest,2021-01-02,m,35,536
Midwest,2021-01-02,m,45,1588
Midwest,2021-01-02,m,5,3
Midwest,2021-01-02,m,55,4195
Midwest,2021-01-02,m,65,8516
Midwest,2021-01-02,m,75,11284
Midwest,2021-01-02,m,85,11058
Midwest,2021-01-02,m,TOT,37420
Midwest,2021-01-09,b,TOT,75013
Midwest,2021-01-09,f,0,3
Midwest,2021-01-09,f,1,2
Midwest,2021-01-09,f,15,39
Midwest,2021-01-09,f,25,128
Midwest,2021-01-09,f,35,289
Midwest,2021-01-09,f,45,839
Midwest,2021-01-09,f,5,2
Midwest,2021-01-09,f,55,2579
Midwest,2021-01-09,f,65,5781
Midwest,2021-01-09,f,75,9340
Midwest,2021-01-09,f,85,16283
Midwest,2021-01-09,f,TOT,35280
Midwest,2021-01-09,m,0,3
Midwest,2021-01-09,m,1,1
Midwest,2021-01-09,m,15,43
Midwest,2021-01-09,m,25,213
Midwest,2021-01-09,m,35,555
Midwest,2021-01-09,m,45,1656
Midwest,2021-01-09,m,5,3
Midwest,2021-01-09,m,55,4428
Midwest,2021-01-09,m,65,9067
Midwest,2021-01-09,m,75,11999
Midwest,2021-01-09,m,85,11769
Midwest,2021-01-09,m,TOT,39732
Midwest,2021-01-16,b,TOT,78751
Midwest,2021-01-16,f,0,3
Midwest,2021-01-16,f,1,2
Midwest,2021-01-16,f,15,40
Midwest,2021-01-16,f,25,131
Midwest,2021-01-16,f,35,299
Midwest,2021-01-16,f,45,873
Midwest,2021-01-16,f,5,2
Midwest,2021-01-16,f,55,2695
Midwest,2021-01-16,f,65,6034
Midwest,2021-01-16,f,75,9853
Midwest,2021-01-16,f,85,17201
Midwest,2021-01-16,f,TOT,37128
Midwest,2021-01-16,m,0,3
Midwest,2021-01-16,m,1,1
Midwest,2021-01-16,m,15,46
Midwest,2021-01-16,m,25,220
Midwest,2021-01-16,m,35,581
Midwest,2021-01-16,m,45,1716
Midwest,2021-01-16,m,5,3
Midwest,2021-01-16,m,55,4634
Midwest,2021-01-16,m,65,9478
Midwest,2021-01-16,m,75,12603
Midwest,2021-01-16,m,85,12341
Midwest,2021-01-16,m,TOT,41622
Midwest,2021-01-23,b,TOT,82420
Midwest,2021-01-23,f,0,3
Midwest,2021-01-23,f,1,2
Midwest,2021-01-23,f,15,41
Midwest,2021-01-23,f,25,138
Midwest,2021-01-23,f,35,315
Midwest,2021-01-23,f,45,916
Midwest,2021-01-23,f,5,2
Midwest,2021-01-23,f,55,2813
Midwest,2021-01-23,f,65,6298
Midwest,2021-01-23,f,75,10323
Midwest,2021-01-23,f,85,18057
Midwest,2021-01-23,f,TOT,38903
Midwest,2021-01-23,m,0,3
Midwest,2021-01-23,m,1,1
Midwest,2021-01-23,m,15,48
Midwest,2021-01-23,m,25,224
Midwest,2021-01-23,m,35,597
Midwest,2021-01-23,m,45,1781
Midwest,2021-01-23,m,5,3
Midwest,2021-01-23,m,55,4864
Midwest,2021-01-23,m,65,9898
Midwest,2021-01-23,m,75,13186
Midwest,2021-01-23,m,85,12915
Midwest,2021-01-23,m,TOT,43516
Midwest,2021-01-30,b,TOT,93251
Midwest,2021-01-30,f,0,3
Midwest,2021-01-30,f,1,2
Midwest,2021-01-30,f,15,43
Midwest,2021-01-30,f,25,153
Midwest,2021-01-30,f,35,356
Midwest,2021-01-30,f,45,1037
Midwest,2021-01-30,f,5,4
Midwest,2021-01-30,f,55,3168
Midwest,2021-01-30,f,65,7153
Midwest,2021-01-30,f,75,11750
Midwest,2021-01-30,f,85,20400
Midwest,2021-01-30,f,TOT,44063
Midwest,2021-01-30,m,0,3
Midwest,2021-01-30,m,1,1
Midwest,2021-01-30,m,15,54
Midwest,2021-01-30,m,25,243
Midwest,2021-01-30,m,35,663
Midwest,2021-01-30,m,45,1983
Midwest,2021-01-30,m,5,4
Midwest,2021-01-30,m,55,5449
Midwest,2021-01-30,m,65,11213
Midwest,2021-01-30,m,75,15030
Midwest,2021-01-30,m,85,14547
Midwest,2021-01-30,m,TOT,49187
Midwest,2021-02-06,b,TOT,96726
Midwest,2021-02-06,f,0,4
Midwest,2021-02-06,f,1,2
Midwest,2021-02-06,f,15,47
Midwest,2021-02-06,f,25,159
Midwest,2021-02-06,f,35,368
Midwest,2021-02-06,f,45,1086
Midwest,2021-02-06,f,5,4
Midwest,2021-02-06,f,55,3318
Midwest,2021-02-06,f,65,7453
Midwest,2021-02-06,f,75,12182
Midwest,2021-02-06,f,85,21050
Midwest,2021-02-06,f,TOT,45665
Midwest,2021-02-06,m,0,3
Midwest,2021-02-06,m,1,1
Midwest,2021-02-06,m,15,57
Midwest,2021-02-06,m,25,251
Midwest,2021-02-06,m,35,684
Midwest,2021-02-06,m,45,2041
Midwest,2021-02-06,m,5,4
Midwest,2021-02-06,m,55,5671
Midwest,2021-02-06,m,65,11658
Midwest,2021-02-06,m,75,15631
Midwest,2021-02-06,m,85,15062
Midwest,2021-02-06,m,TOT,51060
Midwest,2021-02-13,b,TOT,99544
Midwest,2021-02-13,f,0,4
Midwest,2021-02-13,f,1,2
Midwest,2021-02-13,f,15,48
Midwest,2021-02-13,f,25,169
Midwest,2021-02-13,f,35,377
Midwest,2021-02-13,f,45,1125
Midwest,2021-02-13,f,5,4
Midwest,2021-02-13,f,55,3443
Midwest,2021-02-13,f,65,7690
Midwest,2021-02-13,f,75,12520
Midwest,2021-02-13,f,85,21579
Midwest,2021-02-13,f,TOT,46952
Midwest,2021-02-13,m,0,3
Midwest,2021-02-13,m,1,1
Midwest,2021-02-13,m,15,58
Midwest,2021-02-13,m,25,257
Midwest,2021-02-13,m,35,698
Midwest,2021-02-13,m,45,2095
Midwest,2021-02-13,m,5,4
Midwest,2021-02-13,m,55,5855
Midwest,2021-02-13,m,65,12026
Midwest,2021-02-13,m,75,16101
Midwest,2021-02-13,m,85,15496
Midwest,2021-02-13,m,TOT,52591
Midwest,2021-02-27,b,0,7
Midwest,2021-02-27,b,1,3
Midwest,2021-02-27,b,15,116
Midwest,2021-02-27,b,25,443
Midwest,2021-02-27,b,35,1133
Midwest,2021-02-27,b,45,3403
Midwest,2021-02-27,b,5,12
Midwest,2021-02-27,b,55,9874
Midwest,2021-02-27,b,65,20918
Midwest,2021-02-27,b,75,30217
Midwest,2021-02-27,b,85,38878
Midwest,2021-02-27,b,TOT,104999
Midwest,2021-02-27,f,0,5
Midwest,2021-02-27,f,1,2
Midwest,2021-02-27,f,15,56
Midwest,2021-02-27,f,25,174
Midwest,2021-02-27,f,35,402
Midwest,2021-02-27,f,45,1194
Midwest,2021-02-27,f,5,4
Midwest,2021-02-27,f,55,3648
Midwest,2021-02-27,f,65,8133
Midwest,2021-02-27,f,75,13159
Midwest,2021-02-27,f,85,22588
Midwest,2021-02-27,f,TOT,49357
Midwest,2021-02-27,m,0,3
Midwest,2021-02-27,m,1,1
Midwest,2021-02-27,m,15,62
Midwest,2021-02-27,m,25,270
Midwest,2021-02-27,m,35,737
Midwest,2021-02-27,m,45,2209
Midwest,2021-02-27,m,5,4
Midwest,2021-02-27,m,55,6226
Midwest,2021-02-27,m,65,12785
Midwest,2021-02-27,m,75,17058
Midwest,2021-02-27,m,85,16290
