Country,State,Date,Sex,Age,Deaths
USA,Florida,2020-09-26,f,0,0
USA,Florida,2020-09-26,f,1,0
USA,Florida,2020-09-26,f,5,2
USA,Florida,2020-09-26,f,15,12
USA,Florida,2020-09-26,f,25,32
USA,Florida,2020-09-26,f,35,94
USA,Florida,2020-09-26,f,45,202
USA,Florida,2020-09-26,f,55,545
USA,Florida,2020-09-26,f,65,1212
USA,Florida,2020-09-26,f,75,1798
USA,Florida,2020-09-26,f,85,2490
USA,Florida,2020-09-26,f,TOT,6387
USA,Florida,2020-09-26,m,0,0
USA,Florida,2020-09-26,m,1,0
USA,Florida,2020-09-26,m,5,1
USA,Florida,2020-09-26,m,15,19
USA,Florida,2020-09-26,m,25,56
USA,Florida,2020-09-26,m,35,162
USA,Florida,2020-09-26,m,45,415
USA,Florida,2020-09-26,m,55,1079
USA,Florida,2020-09-26,m,65,1909
USA,Florida,2020-09-26,m,75,2347
USA,Florida,2020-09-26,m,85,1976
USA,Florida,2020-09-26,m,TOT,7964
USA,Georgia,2020-09-26,b,TOT,5911
USA,Georgia,2020-09-26,f,0,0
USA,Georgia,2020-09-26,f,1,0
USA,Georgia,2020-09-26,f,5,1
USA,Georgia,2020-09-26,f,15,6
USA,Georgia,2020-09-26,f,25,29
USA,Georgia,2020-09-26,f,35,63
USA,Georgia,2020-09-26,f,45,137
USA,Georgia,2020-09-26,f,55,356
USA,Georgia,2020-09-26,f,65,610
USA,Georgia,2020-09-26,f,75,754
USA,Georgia,2020-09-26,f,85,862
USA,Georgia,2020-09-26,f,TOT,2817
USA,Georgia,2020-09-26,m,0,1
USA,Georgia,2020-09-26,m,1,1
USA,Georgia,2020-09-26,m,5,1
USA,Georgia,2020-09-26,m,15,12
USA,Georgia,2020-09-26,m,25,35
USA,Georgia,2020-09-26,m,35,73
USA,Georgia,2020-09-26,m,45,227
USA,Georgia,2020-09-26,m,55,496
USA,Georgia,2020-09-26,m,65,840
USA,Georgia,2020-09-26,m,75,864
USA,Georgia,2020-09-26,m,85,545
USA,Georgia,2020-09-26,m,TOT,3094
USA,Hawaii,2020-09-26,b,TOT,150
USA,Hawaii,2020-09-26,f,0,0
USA,Hawaii,2020-09-26,f,1,0
USA,Hawaii,2020-09-26,f,5,0
USA,Hawaii,2020-09-26,f,15,0
USA,Hawaii,2020-09-26,f,25,1
USA,Hawaii,2020-09-26,f,35,1
USA,Hawaii,2020-09-26,f,45,2
USA,Hawaii,2020-09-26,f,55,6
USA,Hawaii,2020-09-26,f,65,10
USA,Hawaii,2020-09-26,f,75,10
USA,Hawaii,2020-09-26,f,85,25
USA,Hawaii,2020-09-26,f,TOT,55
USA,Hawaii,2020-09-26,m,0,0
USA,Hawaii,2020-09-26,m,1,0
USA,Hawaii,2020-09-26,m,5,0
USA,Hawaii,2020-09-26,m,15,0
USA,Hawaii,2020-09-26,m,25,0
USA,Hawaii,2020-09-26,m,35,2
USA,Hawaii,2020-09-26,m,45,5
