Region,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Midwest,t,65,2021-02-15,22593.12440195886,23288.700345809244,23673.760513217738,6487137.195739211
Midwest,t,65,2021-03-15,22726.01191348839,23528.870708304068,24014.31657923791,7037248.489452733
Midwest,t,65,2021-04-15,23187.189467499888,23972.737461698394,24617.926986773586,7588620.513948447
Midwest,t,75,2020-03-15,782.0134652220285,854.8616117148501,886.8573741805142,268099.7141502051
Midwest,t,75,2020-04-15,3402.602969871454,3509.842545147162,3602.2642532334976,536563.7384698159
Midwest,t,75,2020-05-15,5212.5666496553995,5356.323648590381,5481.736819425914,805387.6387259775
Midwest,t,75,2020-06-15,5476.826589024116,5702.725022643057,5970.548250665424,1074568.5808281584
Midwest,t,75,2020-07-15,6401.863016445121,6898.129816703863,7165.9530447262305,1344105.3308281507
Midwest,t,75,2020-08-15,8113.877725075581,8719.16040008832,8986.983628110687,1613999.22999803
Midwest,t,75,2020-09-15,9101.096824527101,9873.078363163919,10140.901591186286,1884258.0951419931
Midwest,t,75,2020-10-15,12184.368815923322,12956.35035456014,13224.173582582507,2154897.193674317
Midwest,t,75,2020-11-15,18636.11653932358,19408.098077960396,19675.921305982763,2425939.2436193596
Midwest,t,75,2020-12-15,26718.347128172427,27490.32866680924,27758.151894831608,2697414.413611559
Midwest,t,75,2021-01-15,30559.19997355861,31369.813039255296,31637.636267277663,2969360.3228954356
Midwest,t,75,2021-02-15,30559.19997355861,31094.478889146532,31828.9716723452,3241822.041325588
Midwest,t,75,2021-03-15,30559.19997355861,30834.66332491048,31890.70841204303,3514852.0893666972
Midwest,t,75,2021-04-15,30846.69780313625,30577.469410726757,32192.00135227425,3788510.438093524
Midwest,t,85,2020-03-15,136.93034917162845,363.66837837265297,478.0269474662621,133275.1112039729
Midwest,t,85,2020-04-15,3716.3845742922267,3973.613216226583,4153.688759575795,266658.0921772095
Midwest,t,85,2020-05-15,6454.549800277959,6787.654358638781,6987.341950499091,400149.9600375812
Midwest,t,85,2020-06-15,6872.151294383316,7078.1987872345635,7444.491351699192,533750.8040835363
