State,Sex,Age,Date,CumEpi,CumExc,CumPos,Exposure
Louisiana,m,75,2021-04-15,1616.167060593743,1667.2241710288333,1668.645401129095,103307.88422957664
Louisiana,m,85,2020-03-15,105.79363367986161,105.79363367986161,105.79363367986161,2522.58820411109
Louisiana,m,85,2020-04-15,280.44511455665287,280.44511455665287,280.44511455665287,5048.789992872054
Louisiana,m,85,2020-05-15,352.1604191871525,352.1604191871525,352.1604191871525,7578.646198068281
Louisiana,m,85,2020-06-15,420.95501764004564,420.95501764004564,420.95501764004564,10112.193757038558
Louisiana,m,85,2020-07-15,564.1609995442057,564.1609995442057,564.1609995442057,12649.465712675072
Louisiana,m,85,2020-08-15,700.4686708975485,700.4686708975485,700.4686708975485,15190.49165597367
Louisiana,m,85,2020-09-15,700.4686708975485,717.168691940445,717.168691940445,17735.299496234864
Louisiana,m,85,2020-10-15,700.4686708975485,760.4332370248064,760.4332370248064,20283.915903614106
Louisiana,m,85,2020-11-15,760.5641201544076,820.5286862816656,820.5286862816656,22836.36630912176
Louisiana,m,85,2020-12-15,857.7591955612489,917.7237616885069,917.7237616885069,25392.674904623138
Louisiana,m,85,2021-01-15,1070.5289548328844,1130.4935209601424,1130.4935209601424,27952.864642838467
Louisiana,m,85,2021-02-15,1070.5289548328844,1140.6913238515285,1140.6913238515285,30516.9572373429
Louisiana,m,85,2021-03-15,1070.5289548328844,1140.798892260787,1140.798892260787,33084.97316256653
Louisiana,m,85,2021-04-15,1070.5289548328844,1142.910960101988,1142.910960101988,35656.931653794374
Louisiana,t,0,2020-03-15,0,20.824760653454234,20.824760653454234,210214.66056270257
Louisiana,t,0,2020-04-15,81.57858650071506,102.4033471541693,102.4033471541693,420360.50794564956
Louisiana,t,0,2020-05-15,179.90969555496815,200.7344562084224,200.7344562084224,630436.8493186968
Louisiana,t,0,2020-06-15,261.9917933827508,282.81655403620505,282.81655403620505,840443.1791359961
Louisiana,t,0,2020-07-15,358.8231180997853,379.6478787532395,379.6478787532395,1050379.1791359964
Louisiana,t,0,2020-08-15,478.4016989169821,499.22645957043636,499.22645957043636,1260244.704564855
Louisiana,t,0,2020-09-15,571.7254254766992,592.5501861301534,592.5501861301534,1470039.7290700926
Louisiana,t,0,2020-10-15,643.7920660727927,664.616826726247,664.616826726247,1679764.3309240052
Louisiana,t,0,2020-11-15,755.599268942638,776.4240295960923,776.4240295960923,1889418.6930236656
Louisiana,t,0,2020-12-15,880.1445635507841,900.9693242042384,900.9693242042384,2099003.1028909213
Louisiana,t,0,2021-01-15,1015.4253618642912,1036.2501225177455,1036.2501225177455,2308517.952672396
Louisiana,t,0,2021-02-15,1083.4389596197877,1104.2637202732421,1104.2637202732421,2517963.739139489
Louisiana,t,0,2021-03-15,1138.1825375822964,1159.0072982357506,1159.0072982357506,2727341.0636883765
Louisiana,t,0,2021-04-15,1138.1825375822964,1148.4779234493171,1159.0072982357506,2936650.632340009
Louisiana,t,40,2020-03-15,219.26931501134095,219.26931501134095,219.26931501134095,119822.74897960266
Louisiana,t,40,2020-04-15,565.4861714830694,565.4861714830694,565.4861714830694,239613.82262609387
Louisiana,t,40,2020-05-15,793.7381505340433,793.7381505340433,793.7381505340433,359374.6283574094
Louisiana,t,40,2020-06-15,970.7715388981935,970.7715388981935,970.7715388981935,479106.7005527922
Louisiana,t,40,2020-07-15,1313.8776571379603,1313.8776571379603,1313.8776571379603,598811.7005527923
Louisiana,t,40,2020-08-15,1638.7367753888789,1638.7367753888789,1638.7367753888789,718491.349665362
Louisiana,t,40,2020-09-15,1829.693651555007,1829.693651555007,1829.693651555007,838147.161190237
