Country,Region,Date,Sex,Age,AgeInt,Metric,Measure,Value
USA,Mississippi,2020-11-07,m,45,10,Count,Deaths,102
USA,Mississippi,2020-11-07,m,55,10,Count,Deaths,250
USA,Mississippi,2020-11-07,m,65,10,Count,Deaths,476
USA,Mississippi,2020-11-07,m,75,10,Count,Deaths,462
USA,Mississippi,2020-11-07,m,85,20,Count,Deaths,299
USA,Mississippi,2020-11-07,m,TOT,NA,Count,Deaths,1651
USA,Missouri,2020-11-07,b,TOT,NA,Count,Deaths,3309
USA,Missouri,2020-11-07,f,0,1,Count,Deaths,0
USA,Missouri,2020-11-07,f,1,4,Count,Deaths,0
USA,Missouri,2020-11-07,f,5,10,Count,Deaths,0
USA,Missouri,2020-11-07,f,15,10,Count,Deaths,2
USA,Missouri,2020-11-07,f,25,10,Count,Deaths,8
USA,Missouri,2020-11-07,f,35,10,Count,Deaths,14
USA,Missouri,2020-11-07,f,45,10,Count,Deaths,33
USA,Missouri,2020-11-07,f,55,10,Count,Deaths,132
USA,Missouri,2020-11-07,f,65,10,Count,Deaths,295
USA,Missouri,2020-11-07,f,75,10,Count,Deaths,411
USA,Missouri,2020-11-07,f,85,20,Count,Deaths,734
USA,Missouri,2020-11-07,f,TOT,NA,Count,Deaths,1629
USA,Missouri,2020-11-07,m,0,1,Count,Deaths,0
USA,Missouri,2020-11-07,m,1,4,Count,Deaths,0
USA,Missouri,2020-11-07,m,5,10,Count,Deaths,0
USA,Missouri,2020-11-07,m,15,10,Count,Deaths,1
USA,Missouri,2020-11-07,m,25,10,Count,Deaths,5
USA,Missouri,2020-11-07,m,35,10,Count,Deaths,23
USA,Missouri,2020-11-07,m,45,10,Count,Deaths,64
USA,Missouri,2020-11-07,m,55,10,Count,Deaths,184
USA,Missouri,2020-11-07,m,65,10,Count,Deaths,387
USA,Missouri,2020-11-07,m,75,10,Count,Deaths,528
USA,Missouri,2020-11-07,m,85,20,Count,Deaths,488
USA,Missouri,2020-11-07,m,TOT,NA,Count,Deaths,1680
USA,Montana,2020-11-07,b,TOT,NA,Count,Deaths,415
USA,Montana,2020-11-07,f,0,1,Count,Deaths,0
USA,Montana,2020-11-07,f,1,4,Count,Deaths,0
USA,Montana,2020-11-07,f,5,10,Count,Deaths,0
USA,Montana,2020-11-07,f,15,10,Count,Deaths,0
USA,Montana,2020-11-07,f,25,10,Count,Deaths,1
USA,Montana,2020-11-07,f,35,10,Count,Deaths,3
USA,Montana,2020-11-07,f,45,10,Count,Deaths,8
USA,Montana,2020-11-07,f,55,10,Count,Deaths,22
USA,Montana,2020-11-07,f,65,10,Count,Deaths,27
USA,Montana,2020-11-07,f,75,10,Count,Deaths,50
USA,Montana,2020-11-07,f,85,20,Count,Deaths,69
USA,Montana,2020-11-07,f,TOT,NA,Count,Deaths,181
USA,Montana,2020-11-07,m,0,1,Count,Deaths,0
USA,Montana,2020-11-07,m,1,4,Count,Deaths,0
USA,Montana,2020-11-07,m,5,10,Count,Deaths,0
USA,Montana,2020-11-07,m,15,10,Count,Deaths,0
USA,Montana,2020-11-07,m,25,10,Count,Deaths,0
USA,Montana,2020-11-07,m,35,10,Count,Deaths,4
USA,Montana,2020-11-07,m,45,10,Count,Deaths,14
USA,Montana,2020-11-07,m,55,10,Count,Deaths,28
USA,Montana,2020-11-07,m,65,10,Count,Deaths,64
USA,Montana,2020-11-07,m,75,10,Count,Deaths,69
USA,Montana,2020-11-07,m,85,20,Count,Deaths,55
USA,Montana,2020-11-07,m,TOT,NA,Count,Deaths,234
USA,Nebraska,2020-11-07,b,TOT,NA,Count,Deaths,783
USA,Nebraska,2020-11-07,f,0,1,Count,Deaths,0
USA,Nebraska,2020-11-07,f,1,4,Count,Deaths,0
USA,Nebraska,2020-11-07,f,5,10,Count,Deaths,0
USA,Nebraska,2020-11-07,f,15,10,Count,Deaths,1
USA,Nebraska,2020-11-07,f,25,10,Count,Deaths,2
USA,Nebraska,2020-11-07,f,35,10,Count,Deaths,4
USA,Nebraska,2020-11-07,f,45,10,Count,Deaths,10
USA,Nebraska,2020-11-07,f,55,10,Count,Deaths,35
USA,Nebraska,2020-11-07,f,65,10,Count,Deaths,49
USA,Nebraska,2020-11-07,f,75,10,Count,Deaths,84
USA,Nebraska,2020-11-07,f,85,20,Count,Deaths,157
